stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
X,1:1:1,15,9,9,44.38,8,88.88799999999998,40.78,91.894,8,88.88799999999998,40.78,91.894,8,88.88799999999998,40.78,91.894,8,88.88799999999998,40.78,91.894,8,88.88799999999998,40.78,91.894,8,88.88799999999998,40.78,91.894,8,88.88799999999998,40.78,91.894,8,88.88799999999998,40.78,91.894,8,88.88799999999998,40.78,91.894,8,88.88799999999998,40.78,91.894,8,88.88799999999998,40.78,91.894,8,88.88799999999998,40.78,91.894,8,88.88799999999998,40.78,91.894
X,1:1:1,25,13,15,66.38,15,100.0,66.38,100.0,15,100.0,66.38,100.0,15,100.0,66.38,100.0,15,100.0,66.38,100.0,15,100.0,66.38,100.0,15,100.0,66.38,100.0,15,100.0,66.38,100.0,15,100.0,66.38,100.0,15,100.0,66.38,100.0,15,100.0,66.38,100.0,15,100.0,66.38,100.0,15,100.0,66.38,100.0,15,100.0,66.38,100.0
X,1:1:1,50,28,30,103.12,30,100.0,103.12,100.0,30,100.0,103.12,100.0,30,100.0,103.12,100.0,30,100.0,103.12,100.0,30,100.0,103.12,100.0,30,100.0,103.12,100.0,30,100.0,103.12,100.0,30,100.0,103.12,100.0,30,100.0,103.12,100.0,30,100.0,103.12,100.0,30,100.0,103.12,100.0,30,100.0,103.12,100.0,30,100.0,103.12,100.0
X,1:1:1,100,53,54,315.25,53,98.148,312.43,99.104,53,98.148,312.43,99.104,53,98.148,312.43,99.104,53,98.148,312.43,99.104,53,98.148,312.43,99.104,53,98.148,312.43,99.104,53,98.148,312.43,99.104,53,98.148,312.43,99.104,53,98.148,312.43,99.104,53,98.148,312.43,99.104,53,98.148,312.43,99.104,53,98.148,312.43,99.104,53,98.148,312.43,99.104
X,1:1:1,500,257,260,2991.75,260,100.0,2991.75,100.0,260,100.0,2991.75,100.0,260,100.0,2991.75,100.0,260,100.0,2991.75,100.0,260,100.0,2991.75,100.0,260,100.0,2991.75,100.0,260,100.0,2991.75,100.0,260,100.0,2991.75,100.0,260,100.0,2991.75,100.0,260,100.0,2991.75,100.0,260,100.0,2991.75,100.0,260,100.0,2991.75,100.0,260,100.0,2991.75,100.0
X,1:1:1,1000,510,510,11430.91,509,99.803,11425.73,99.955,509,99.803,11425.73,99.955,509,99.803,11425.73,99.955,509,99.803,11425.73,99.955,509,99.803,11425.73,99.955,509,99.803,11425.73,99.955,509,99.803,11425.73,99.955,509,99.803,11425.73,99.955,509,99.803,11425.73,99.955,509,99.803,11425.73,99.955,509,99.803,11425.73,99.955,509,99.803,11425.73,99.955,509,99.803,11425.73,99.955
X,1:1:1,2000,1028,1030,18678.62,1030,100.0,18678.62,100.0,1030,100.0,18678.62,100.0,1030,100.0,18678.62,100.0,1030,100.0,18678.62,100.0,1030,100.0,18678.62,100.0,1030,100.0,18678.62,100.0,1030,100.0,18678.62,100.0,1030,100.0,18678.62,100.0,1030,100.0,18678.62,100.0,1030,100.0,18678.62,100.0,1030,100.0,18678.62,100.0,1030,100.0,18678.62,100.0,1030,100.0,18678.62,100.0
X,1:1:1,5000,2537,2538,165474.37,2538,100.0,165474.37,100.0,2538,100.0,165474.37,100.0,2538,100.0,165474.37,100.0,2538,100.0,165474.37,100.0,2538,100.0,165474.37,100.0,2538,100.0,165474.37,100.0,2538,100.0,165474.37,100.0,2538,100.0,165474.37,100.0,2538,100.0,165474.37,100.0,2538,100.0,165474.37,100.0,2538,100.0,165474.37,100.0,2538,100.0,165474.37,100.0,2538,100.0,165474.37,100.0
X,1:1:1,7408,3757,3757,216456.6,3756,99.973,216439.67,99.992,3756,99.973,216439.67,99.992,3756,99.973,216439.67,99.992,3756,99.973,216439.67,99.992,3756,99.973,216439.67,99.992,3756,99.973,216439.67,99.992,3756,99.973,216439.67,99.992,3756,99.973,216439.67,99.992,3756,99.973,216439.67,99.992,3756,99.973,216439.67,99.992,3756,99.973,216439.67,99.992,3756,99.973,216439.67,99.992,3756,99.973,216439.67,99.992
WMT,1:1:1:1:1,2,2,2,0.0,1,50.0,0.0,56.25,1,50.0,0.0,56.25,1,50.0,0.0,56.25,1,50.0,0.0,56.25,1,50.0,0.0,56.25,1,50.0,0.0,56.25,1,50.0,0.0,56.25,1,50.0,0.0,56.25,1,50.0,0.0,56.25,1,50.0,0.0,56.25,1,50.0,0.0,56.25,1,50.0,0.0,56.25,1,50.0,0.0,56.25
WMT,1:1:1:1:1,3,3,3,0.0,2,66.666,0.0,94.118,2,66.666,0.0,94.118,2,66.666,0.0,94.118,2,66.666,0.0,94.118,2,66.666,0.0,94.118,2,66.666,0.0,94.118,2,66.666,0.0,94.118,2,66.666,0.0,94.118,2,66.666,0.0,94.118,2,66.666,0.0,94.118,2,66.666,0.0,94.118,2,66.666,0.0,94.118,2,66.666,0.0,94.118
WMT,1:1:1:1:1,4,3,3,0.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0
WMT,1:1:1:1:1,5,3,3,0.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0,3,100.0,0.0,100.0
WMT,1:1:1:1:1,10,6,6,0.01,5,83.333,0.01,98.61200000000001,5,83.333,0.01,98.61200000000001,5,83.333,0.01,98.61200000000001,5,83.333,0.01,98.61200000000001,5,83.333,0.01,98.61200000000001,5,83.333,0.01,98.61200000000001,5,83.333,0.01,98.61200000000001,5,83.333,0.01,98.61200000000001,5,83.333,0.01,98.61200000000001,5,83.333,0.01,98.61200000000001,5,83.333,0.01,98.61200000000001,5,83.333,0.01,98.61200000000001,5,83.333,0.01,98.61200000000001
WMT,1:1:1:1:1,15,11,11,0.01,10,90.90899999999999,0.01,98.805,10,90.90899999999999,0.01,98.805,10,90.90899999999999,0.01,98.805,10,90.90899999999999,0.01,98.805,10,90.90899999999999,0.01,98.805,10,90.90899999999999,0.01,98.805,10,90.90899999999999,0.01,98.805,10,90.90899999999999,0.01,98.805,10,90.90899999999999,0.01,98.805,10,90.90899999999999,0.01,98.805,10,90.90899999999999,0.01,98.805,10,90.90899999999999,0.01,98.805,10,90.90899999999999,0.01,98.805
WMT,1:1:1:1:1,25,13,13,0.04,12,92.307,0.04,96.4,12,92.307,0.04,96.4,12,92.307,0.04,96.4,12,92.307,0.04,96.4,12,92.307,0.04,96.4,12,92.307,0.04,96.4,12,92.307,0.04,96.4,12,92.307,0.04,96.4,12,92.307,0.04,96.4,12,92.307,0.04,96.4,12,92.307,0.04,96.4,12,92.307,0.04,96.4,12,92.307,0.04,96.4
WMT,1:1:1:1:1,50,28,28,0.11,27,96.428,0.11,99.41799999999999,27,96.428,0.11,99.41799999999999,27,96.428,0.11,99.41799999999999,27,96.428,0.11,99.41799999999999,27,96.428,0.11,99.41799999999999,27,96.428,0.11,99.41799999999999,27,96.428,0.11,99.41799999999999,27,96.428,0.11,99.41799999999999,27,96.428,0.11,99.41799999999999,27,96.428,0.11,99.41799999999999,27,96.428,0.11,99.41799999999999,27,96.428,0.11,99.41799999999999,27,96.428,0.11,99.41799999999999
WMT,1:1:1:1:1,100,52,52,0.29,51,98.07600000000001,0.29,99.027,51,98.07600000000001,0.29,99.027,51,98.07600000000001,0.29,99.027,51,98.07600000000001,0.29,99.027,51,98.07600000000001,0.29,99.027,51,98.07600000000001,0.29,99.027,51,98.07600000000001,0.29,99.027,51,98.07600000000001,0.29,99.027,51,98.07600000000001,0.29,99.027,51,98.07600000000001,0.29,99.027,51,98.07600000000001,0.29,99.027,51,98.07600000000001,0.29,99.027,51,98.07600000000001,0.29,99.027
WMT,1:1:1:1:1,500,252,252,5.26,252,100.0,5.26,100.0,252,100.0,5.26,100.0,252,100.0,5.26,100.0,252,100.0,5.26,100.0,252,100.0,5.26,100.0,252,100.0,5.26,100.0,252,100.0,5.26,100.0,252,100.0,5.26,100.0,252,100.0,5.26,100.0,252,100.0,5.26,100.0,252,100.0,5.26,100.0,252,100.0,5.26,100.0,252,100.0,5.26,100.0
WMT,1:1:1:1:1,1000,508,508,11.48,507,99.803,11.48,99.976,507,99.803,11.48,99.976,507,99.803,11.48,99.976,507,99.803,11.48,99.976,507,99.803,11.48,99.976,507,99.803,11.48,99.976,507,99.803,11.48,99.976,507,99.803,11.48,99.976,507,99.803,11.48,99.976,507,99.803,11.48,99.976,507,99.803,11.48,99.976,507,99.803,11.48,99.976,507,99.803,11.48,99.976
WMT,1:1:1:1:1,2000,1014,1014,50.1,1014,100.0,50.1,100.0,1014,100.0,50.1,100.0,1014,100.0,50.1,100.0,1014,100.0,50.1,100.0,1014,100.0,50.1,100.0,1014,100.0,50.1,100.0,1014,100.0,50.1,100.0,1014,100.0,50.1,100.0,1014,100.0,50.1,100.0,1014,100.0,50.1,100.0,1014,100.0,50.1,100.0,1014,100.0,50.1,100.0,1014,100.0,50.1,100.0
WMT,1:1:1:1:1,5000,2504,2504,10648.6,2503,99.96,10648.52,99.999,2503,99.96,10648.52,99.999,2503,99.96,10648.52,99.999,2503,99.96,10648.52,99.999,2503,99.96,10648.52,99.999,2503,99.96,10648.52,99.999,2503,99.96,10648.52,99.999,2503,99.96,10648.52,99.999,2503,99.96,10648.52,99.999,2503,99.96,10648.52,99.999,2503,99.96,10648.52,99.999,2503,99.96,10648.52,99.999,2503,99.96,10648.52,99.999
WMT,1:1:1:1:1,10000,5032,5036,192167.54,5035,99.98,192165.13,99.999,5035,99.98,192165.13,99.999,5035,99.98,192165.13,99.999,5035,99.98,192165.13,99.999,5035,99.98,192165.13,99.999,5035,99.98,192165.13,99.999,5035,99.98,192165.13,99.999,5035,99.98,192165.13,99.999,5035,99.98,192165.13,99.999,5035,99.98,192165.13,99.999,5035,99.98,192165.13,99.999,5035,99.98,192165.13,99.999,5035,99.98,192165.13,99.999
WMT,1:1:1:1:1,20000,10080,10081,452742.43,10081,100.0,452742.43,100.0,10081,100.0,452742.43,100.0,10081,100.0,452742.43,100.0,10081,100.0,452742.43,100.0,10081,100.0,452742.43,100.0,10081,100.0,452742.43,100.0,10081,100.0,452742.43,100.0,10081,100.0,452742.43,100.0,10081,100.0,452742.43,100.0,10081,100.0,452742.43,100.0,10081,100.0,452742.43,100.0,10081,100.0,452742.43,100.0,10081,100.0,452742.43,100.0
WMT,1:1:1:1:1,24226,12140,12140,685693.2,12139,99.991,685687.97,99.999,12139,99.991,685687.97,99.999,12139,99.991,685687.97,99.999,12139,99.991,685687.97,99.999,12139,99.991,685687.97,99.999,12139,99.991,685687.97,99.999,12139,99.991,685687.97,99.999,12139,99.991,685687.97,99.999,12139,99.991,685687.97,99.999,12139,99.991,685687.97,99.999,12139,99.991,685687.97,99.999,12139,99.991,685687.97,99.999,12139,99.991,685687.97,99.999
X,1:1:1:1:1,2,1,1,2.47,1,100.0,2.47,100.0,1,100.0,2.47,100.0,1,100.0,2.47,100.0,1,100.0,2.47,100.0,1,100.0,2.47,100.0,1,100.0,2.47,100.0,1,100.0,2.47,100.0,1,100.0,2.47,100.0,1,100.0,2.47,100.0,1,100.0,2.47,100.0,1,100.0,2.47,100.0,1,100.0,2.47,100.0,1,100.0,2.47,100.0
X,1:1:1:1:1,3,2,2,5.19,2,100.0,5.19,100.0,2,100.0,5.19,100.0,2,100.0,5.19,100.0,2,100.0,5.19,100.0,2,100.0,5.19,100.0,2,100.0,5.19,100.0,2,100.0,5.19,100.0,2,100.0,5.19,100.0,2,100.0,5.19,100.0,2,100.0,5.19,100.0,2,100.0,5.19,100.0,2,100.0,5.19,100.0,2,100.0,5.19,100.0
X,1:1:1:1:1,4,3,3,7.78,3,100.0,7.78,100.0,3,100.0,7.78,100.0,3,100.0,7.78,100.0,3,100.0,7.78,100.0,3,100.0,7.78,100.0,3,100.0,7.78,100.0,3,100.0,7.78,100.0,3,100.0,7.78,100.0,3,100.0,7.78,100.0,3,100.0,7.78,100.0,3,100.0,7.78,100.0,3,100.0,7.78,100.0,3,100.0,7.78,100.0
X,1:1:1:1:1,5,4,4,11.5,3,75.0,9.03,78.533,3,75.0,9.03,78.533,3,75.0,9.03,78.533,3,75.0,9.03,78.533,3,75.0,9.03,78.533,3,75.0,9.03,78.533,3,75.0,9.03,78.533,3,75.0,9.03,78.533,3,75.0,9.03,78.533,3,75.0,9.03,78.533,3,75.0,9.03,78.533,3,75.0,9.03,78.533,3,75.0,9.03,78.533
