stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
AGNC,1:2,25,17,17,100.53,17,100.0,100.53,100.0,17,100.0,100.53,100.0,17,100.0,100.53,100.0,17,100.0,100.53,100.0,17,100.0,100.53,100.0,17,100.0,100.53,100.0,17,100.0,100.53,100.0,17,100.0,100.53,100.0,17,100.0,100.53,100.0,17,100.0,100.53,100.0,17,100.0,100.53,100.0,17,100.0,100.53,100.0,17,100.0,100.53,100.0
AGNC,1:2,50,26,26,142.49,25,96.153,141.16,99.068,25,96.153,141.16,99.068,25,96.153,141.16,99.068,25,96.153,141.16,99.068,25,96.153,141.16,99.068,25,96.153,141.16,99.068,25,96.153,141.16,99.068,25,96.153,141.16,99.068,25,96.153,141.16,99.068,25,96.153,141.16,99.068,25,96.153,141.16,99.068,25,96.153,141.16,99.068,25,96.153,141.16,99.068
AGNC,1:2,100,47,47,243.21,46,97.872,241.87,99.448,46,97.872,241.87,99.448,46,97.872,241.87,99.448,46,97.872,241.87,99.448,46,97.872,241.87,99.448,46,97.872,241.87,99.448,46,97.872,241.87,99.448,46,97.872,241.87,99.448,46,97.872,241.87,99.448,46,97.872,241.87,99.448,46,97.872,241.87,99.448,46,97.872,241.87,99.448,46,97.872,241.87,99.448
AGNC,1:2,500,169,169,2709.27,168,99.408,2703.06,99.771,168,99.408,2703.06,99.771,168,99.408,2703.06,99.771,168,99.408,2703.06,99.771,168,99.408,2703.06,99.771,168,99.408,2703.06,99.771,168,99.408,2703.06,99.771,168,99.408,2703.06,99.771,168,99.408,2703.06,99.771,168,99.408,2703.06,99.771,168,99.408,2703.06,99.771,168,99.408,2703.06,99.771,168,99.408,2703.06,99.771
AGNC,1:2,1000,581,581,9076.2,581,100.0,9070.5,99.937,581,100.0,9070.5,99.937,581,100.0,9070.5,99.937,581,100.0,9070.5,99.937,581,100.0,9070.5,99.937,581,100.0,9070.5,99.937,581,100.0,9070.5,99.937,581,100.0,9070.5,99.937,581,100.0,9070.5,99.937,581,100.0,9070.5,99.937,581,100.0,9070.5,99.937,581,100.0,9070.5,99.937,581,100.0,9070.5,99.937
AGNC,1:2,2000,1141,1141,22331.77,1140,99.912,22323.42,99.963,1140,99.912,22323.42,99.963,1140,99.912,22323.42,99.963,1140,99.912,22323.42,99.963,1140,99.912,22323.42,99.963,1140,99.912,22323.42,99.963,1140,99.912,22323.42,99.963,1140,99.912,22323.42,99.963,1140,99.912,22323.42,99.963,1140,99.912,22323.42,99.963,1140,99.912,22323.42,99.963,1140,99.912,22323.42,99.963,1140,99.912,22323.42,99.963
AGNC,1:2,3100,1564,1565,27430.72,1565,100.0,27430.72,100.0,1565,100.0,27430.72,100.0,1565,100.0,27430.72,100.0,1565,100.0,27430.72,100.0,1565,100.0,27430.72,100.0,1565,100.0,27430.72,100.0,1565,100.0,27430.72,100.0,1565,100.0,27430.72,100.0,1565,100.0,27430.72,100.0,1565,100.0,27430.72,100.0,1565,100.0,27430.72,100.0,1565,100.0,27430.72,100.0,1565,100.0,27430.72,100.0
AMAT,1:2,2,2,2,0.38,1,50.0,0.19,50.452,1,50.0,0.19,50.452,1,50.0,0.19,50.452,1,50.0,0.19,50.452,1,50.0,0.19,50.452,1,50.0,0.19,50.452,1,50.0,0.19,50.452,1,50.0,0.19,50.452,1,50.0,0.19,50.452,1,50.0,0.19,50.452,1,50.0,0.19,50.452,1,50.0,0.19,50.452,1,50.0,0.19,50.452
AMAT,1:2,3,3,3,0.58,2,66.666,0.39,67.068,2,66.666,0.39,67.068,2,66.666,0.39,67.068,2,66.666,0.39,67.068,2,66.666,0.39,67.068,2,66.666,0.39,67.068,2,66.666,0.39,67.068,2,66.666,0.39,67.068,2,66.666,0.39,67.068,2,66.666,0.39,67.068,2,66.666,0.39,67.068,2,66.666,0.39,67.068,2,66.666,0.39,67.068
AMAT,1:2,4,4,4,0.77,3,75.0,0.58,75.44800000000002,3,75.0,0.58,75.44800000000002,3,75.0,0.58,75.44800000000002,3,75.0,0.58,75.44800000000002,3,75.0,0.58,75.44800000000002,3,75.0,0.58,75.44800000000002,3,75.0,0.58,75.44800000000002,3,75.0,0.58,75.44800000000002,3,75.0,0.58,75.44800000000002,3,75.0,0.58,75.44800000000002,3,75.0,0.58,75.44800000000002,3,75.0,0.58,75.44800000000002,3,75.0,0.58,75.44800000000002
