stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
B,1:1:1,5,5,5,14.35,4,80.0,11.77,81.97399999999998,4,80.0,11.77,81.97399999999998,4,80.0,11.77,81.97399999999998,4,80.0,11.77,81.97399999999998,4,80.0,11.77,81.97399999999998,4,80.0,11.77,81.97399999999998,4,80.0,11.77,81.97399999999998,4,80.0,11.77,81.97399999999998
B,1:1:1,10,10,10,28.56,9,90.0,25.99,90.992,9,90.0,25.99,90.992,9,90.0,25.99,90.992,9,90.0,25.99,90.992,9,90.0,25.99,90.992,9,90.0,25.99,90.992,9,90.0,25.99,90.992,9,90.0,25.99,90.992
B,1:1:1,15,15,15,42.0,14,93.333,39.53,94.11,14,93.333,39.53,94.11,14,93.333,39.53,94.11,14,93.333,39.53,94.11,14,93.333,39.53,94.11,14,93.333,39.53,94.11,14,93.333,39.53,94.11,14,93.333,39.53,94.11
B,1:1:1,25,25,25,68.12,24,96.0,65.7,96.434,24,96.0,65.7,96.434,24,96.0,65.7,96.434,24,96.0,65.7,96.434,24,96.0,65.7,96.434,24,96.0,65.7,96.434,24,96.0,65.7,96.434,24,96.0,65.7,96.434
B,1:1:1,50,49,49,131.71,48,97.959,129.24,98.12200000000001,48,97.959,129.24,98.12200000000001,48,97.959,129.24,98.12200000000001,48,97.959,129.24,98.12200000000001,48,97.959,129.24,98.12200000000001,48,97.959,129.24,98.12200000000001,48,97.959,129.24,98.12200000000001,48,97.959,129.24,98.12200000000001
B,1:1:1,100,99,99,276.12,98,98.98899999999999,273.74,99.137,98,98.98899999999999,273.74,99.137,98,98.98899999999999,273.74,99.137,98,98.98899999999999,273.74,99.137,98,98.98899999999999,273.74,99.137,98,98.98899999999999,273.74,99.137,98,98.98899999999999,273.74,99.137,98,98.98899999999999,273.74,99.137
B,1:1:1,500,495,495,1680.46,494,99.79700000000001,1678.89,99.90700000000001,494,99.79700000000001,1678.89,99.90700000000001,494,99.79700000000001,1678.89,99.90700000000001,494,99.79700000000001,1678.89,99.90700000000001,494,99.79700000000001,1678.89,99.90700000000001,494,99.79700000000001,1678.89,99.90700000000001,494,99.79700000000001,1678.89,99.90700000000001,494,99.79700000000001,1678.89,99.90700000000001
B,1:1:1,1000,986,986,3241.23,986,100.0,3241.23,100.0,986,100.0,3241.23,100.0,986,100.0,3241.23,100.0,986,100.0,3241.23,100.0,986,100.0,3241.23,100.0,986,100.0,3241.23,100.0,986,100.0,3241.23,100.0,986,100.0,3241.23,100.0
B,1:1:1,2000,1140,1141,7040.35,1139,99.912,7039.73,99.991,1140,99.912,7036.38,99.944,1139,99.912,7039.73,99.991,1140,99.912,7036.38,99.944,1139,99.912,7039.73,99.991,1140,99.912,7036.38,99.944,1139,99.912,7039.73,99.991,1140,99.912,7036.38,99.944
B,1:1:1,5000,2516,2524,24629.27,2516,100.0,24629.27,100.0,2524,100.0,24629.27,100.0,2516,100.0,24629.27,100.0,2524,100.0,24629.27,100.0,2516,100.0,24629.27,100.0,2524,100.0,24629.27,100.0,2516,100.0,24629.27,100.0,2524,100.0,24629.27,100.0
