,recipe,n,k,k+0,OPT_GFT,OPT_GFT+0,McAfee_k',%k',total_gft,%total_gft,market_gft,market_%gft,McAfee_Without_Heuristic_k',%k',total_gft,%total_gft,market_gft,market_%gft,SBB_External_Competition_k',%k',gft,%gft,market_gft,market_%gft,SBB_Ascending_Prices_k,%k',gft,%gft,market_gft,market_%gft
stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,optimal_gft_with_gft_zero,McAfee_count,McAfee_count_ratio,McAfee_total_gft,McAfee_total_gft_ratio,McAfee_market_gft,McAfee_market_gft_ratio,McAfee_Without_Heuristic_count,McAfee_Without_Heuristic_count_ratio,McAfee_Without_Heuristic_total_gft,McAfee_Without_Heuristic_total_gft_ratio,McAfee_Without_Heuristic_market_gft,McAfee_Without_Heuristic_market_gft_ratio,SBB_External_Competition_count,SBB_External_Competition_count_ratio,SBB_External_Competition_total_gft,SBB_External_Competition_total_gft_ratio,SBB_External_Competition_market_gft,SBB_External_Competition_market_gft_ratio,SBB_Ascending_Prices_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_total_gft,SBB_Ascending_Prices_total_gft_ratio,SBB_Ascending_Prices_market_gft,SBB_Ascending_Prices_market_gft_ratio
INTC,1:1,3,2,2,15,15,2,100.0,15.0,100.0,15.0,100.0,1,50.0,10.0,66.667,5.0,33.333,1,50.0,10.0,66.667,10.0,66.667,2,100.0,15.0,100.0,15.0,100.0
INTC,1:1,4,2,3,19,19,2,66.666,19.0,100.0,19.0,100.0,2,66.666,19.0,100.0,19.0,100.0,2,100.0,19.0,100.0,19.0,100.0,3,100.0,19.0,100.0,19.0,100.0
INTC,1:1,5,3,3,27,27,3,100.0,27.0,100.0,27.0,100.0,2,66.666,22.0,81.481,12.0,44.444,2,66.666,21.0,77.778,21.0,77.778,3,100.0,27.0,100.0,27.0,100.0
INTC,1:1,10,5,5,94,94,5,100.0,94.0,100.0,94.0,100.0,4,80.0,88.0,93.617,64.0,68.085,4,80.0,83.0,88.298,83.0,88.298,5,100.0,94.0,100.0,94.0,100.0
INTC,1:1,15,8,9,121,121,8,88.888,121.0,100.0,121.0,100.0,8,88.888,121.0,100.0,121.0,100.0,7,87.5,113.62,93.905,113.62,93.905,8,88.888,114.11,94.307,114.11,94.307
INTC,1:1,25,14,14,287,287,14,100.0,287.0,100.0,287.0,100.0,13,92.857,283.0,98.606,231.0,80.488,11,78.571,250.14,87.158,250.14,87.158,14,100.0,287.0,100.0,287.0,100.0
INTC,1:1,50,27,28,674,674,27,96.428,674.0,100.0,674.0,100.0,27,96.428,674.0,100.0,674.0,100.0,26,96.296,660.26,97.961,660.26,97.961,27,96.428,660.75,98.034,660.75,98.034
INTC,1:1,100,53,55,2960,2960,54,98.181,2960.0,100.0,2960.0,100.0,54,98.181,2960.0,100.0,2960.0,100.0,52,98.113,2936.62,99.21,2936.62,99.21,55,100.0,2960.0,100.0,2960.0,100.0
INTC,1:1,500,253,255,32050,32050,254,99.607,32050.0,100.0,32050.0,100.0,254,99.607,32050.0,100.0,32050.0,100.0,250,98.814,31849.63,99.375,31849.63,99.375,254,99.607,31990.58,99.815,31990.58,99.815
INTC,1:1,1000,505,508,137259,137259,507,99.803,137259.0,100.0,137259.0,100.0,507,99.803,137259.0,100.0,137259.0,100.0,502,99.405,136658.23,99.562,136658.23,99.562,507,99.803,137187.88,99.948,137187.88,99.948
INTC,1:1,2000,1013,1019,351374,351374,1018,99.901,351374.0,100.0,351374.0,100.0,1018,99.901,351374.0,100.0,351374.0,100.0,1004,99.111,349588.34,99.492,349588.34,99.492,1018,99.901,351226.42,99.958,351226.42,99.958
INTC,1:1,5000,2504,2520,25117535,25117535,2519,99.96,25117535.0,100.0,25117535.0,100.0,2519,99.96,25117535.0,100.0,25117535.0,100.0,2504,100.0,25117535.0,100.0,25117535.0,100.0,2519,99.96,25117039.67,99.998,25117039.67,99.998
INTC,1:1,10000,5054,5056,132238984,132238984,5055,99.98,132238984.0,100.0,132238984.0,100.0,5055,99.98,132238984.0,100.0,132238984.0,100.0,5051,99.94,132204803.36,99.974,132204803.36,99.974,5055,99.98,132224218.18,99.989,132224218.18,99.989
INTC,1:1,20000,10088,10091,264515344,264515344,10090,99.99,264515344.0,100.0,264515344.0,100.0,10090,99.99,264515344.0,100.0,264515344.0,100.0,10082,99.94,264446277.07,99.974,264446277.07,99.974,10090,99.99,264500638.74,99.994,264500638.74,99.994
INTC,1:1,20414,10307,10307,278916233,278916233,10307,100.0,278916233.0,100.0,278916233.0,100.0,10306,99.99,278916227.0,100.0,278854391.0,99.978,10307,100.0,278916233.0,100.0,278916233.0,100.0,10307,100.0,278916233.0,100.0,278916233.0,100.0
J,1:1,2,1,2,10,10,1,50.0,10.0,100.0,10.0,100.0,1,50.0,10.0,100.0,10.0,100.0,0,0.0,0.0,0.0,0.0,0.0,1,50.0,10.0,100.0,10.0,100.0
J,1:1,3,1,2,15,15,1,50.0,15.0,100.0,15.0,100.0,1,50.0,15.0,100.0,15.0,100.0,1,100.0,15.0,100.0,15.0,100.0,2,100.0,15.0,100.0,15.0,100.0
J,1:1,4,2,2,26,26,2,100.0,26.0,100.0,26.0,100.0,1,50.0,21.0,80.769,16.0,61.538,1,50.0,18.0,69.231,18.0,69.231,2,100.0,26.0,100.0,26.0,100.0
J,1:1,5,2,3,42,42,2,66.666,42.0,100.0,42.0,100.0,2,66.666,42.0,100.0,42.0,100.0,2,100.0,42.0,100.0,42.0,100.0,2,66.666,34.67,82.54,34.67,82.54
J,1:1,10,4,6,375,375,5,83.333,375.0,100.0,375.0,100.0,5,83.333,375.0,100.0,375.0,100.0,4,100.0,375.0,100.0,375.0,100.0,5,83.333,325.5,86.8,325.5,86.8
J,1:1,15,7,8,655,655,7,87.5,655.0,100.0,655.0,100.0,7,87.5,655.0,100.0,655.0,100.0,7,100.0,655.0,100.0,655.0,100.0,7,87.5,621.38,94.866,621.38,94.866
J,1:1,25,13,14,865,865,13,92.857,865.0,100.0,865.0,100.0,13,92.857,865.0,100.0,865.0,100.0,12,92.307,840.85,97.208,840.85,97.208,14,100.0,865.0,100.0,865.0,100.0
J,1:1,50,26,26,1505,1505,26,100.0,1505.0,100.0,1505.0,100.0,25,96.153,1500.0,99.668,1375.0,91.362,22,84.615,1349.0,89.635,1349.0,89.635,26,100.0,1505.0,100.0,1505.0,100.0
J,1:1,100,52,53,6511,6511,52,98.113,6511.0,100.0,6511.0,100.0,52,98.113,6511.0,100.0,6511.0,100.0,48,92.307,6358.0,97.65,6358.0,97.65,53,100.0,6511.0,100.0,6511.0,100.0
J,1:1,500,257,260,124977,124977,259,99.615,124977.0,100.0,124977.0,100.0,259,99.615,124977.0,100.0,124977.0,100.0,255,99.221,124378.04,99.521,124378.04,99.521,260,100.0,124977.0,100.0,124977.0,100.0
J,1:1,1000,508,517,244920,244920,516,99.806,244920.0,100.0,244920.0,100.0,516,99.806,244920.0,100.0,244920.0,100.0,503,99.015,243171.28,99.286,243171.28,99.286,516,99.806,244789.92,99.947,244789.92,99.947
J,1:1,2000,1002,1023,468841,468841,1022,99.902,468841.0,100.0,468841.0,100.0,1022,99.902,468841.0,100.0,468841.0,100.0,990,98.802,467201.14,99.65,467201.14,99.65,1023,100.0,468841.0,100.0,468841.0,100.0
J,1:1,5000,2502,2503,13602737,13602737,2502,99.96,13602737.0,100.0,13602737.0,100.0,2502,99.96,13602737.0,100.0,13602737.0,100.0,2500,99.92,13600376.79,99.983,13600376.79,99.983,2502,99.96,13601557.37,99.991,13601557.37,99.991
J,1:1,10000,5009,5010,197880876,197880876,5009,99.98,197880876.0,100.0,197880876.0,100.0,5009,99.98,197880876.0,100.0,197880876.0,100.0,5006,99.94,197779346.37,99.949,197779346.37,99.949,5009,99.98,197875215.27,99.997,197875215.27,99.997
J,1:1,20000,10014,10021,394835340,394835340,10020,99.99,394835340.0,100.0,394835340.0,100.0,10020,99.99,394835340.0,100.0,394835340.0,100.0,10010,99.96,394812726.3,99.994,394812726.3,99.994,10021,100.0,394835340.0,100.0,394835340.0,100.0
J,1:1,20414,10229,10234,425688122,425688122,10233,99.99,425688122.0,100.0,425688122.0,100.0,10233,99.99,425688122.0,100.0,425688122.0,100.0,10224,99.951,425658366.38,99.993,425658366.38,99.993,10234,100.0,425688122.0,100.0,425688122.0,100.0
JBLU,1:1,2,2,2,3306,3306,1,50.0,3043.0,92.045,2780.0,84.09,1,50.0,3043.0,92.045,2780.0,84.09,1,50.0,1883.0,56.957,1883.0,56.957,1,50.0,1883.0,56.957,1883.0,56.957
JBLU,1:1,3,3,3,3573,3573,2,66.666,3381.0,94.626,2997.0,83.879,2,66.666,3381.0,94.626,2997.0,83.879,2,66.666,2582.67,72.283,2582.67,72.283,2,66.666,2582.67,72.283,2582.67,72.283
JBLU,1:1,4,4,4,3736,3736,3,75.0,3677.0,98.421,3500.0,93.683,3,75.0,3677.0,98.421,3500.0,93.683,3,75.0,2978.5,79.724,2978.5,79.724,3,75.0,2978.5,79.724,2978.5,79.724
JBLU,1:1,5,4,4,3923,3923,4,100.0,3923.0,100.0,3923.0,100.0,3,75.0,3731.0,95.106,3155.0,80.423,4,100.0,3923.0,100.0,3923.0,100.0,4,100.0,3923.0,100.0,3923.0,100.0
JBLU,1:1,10,7,7,6738,6738,6,85.714,6735.0,99.955,6717.0,99.688,6,85.714,6735.0,99.955,6717.0,99.688,6,85.714,6064.29,90.001,6064.29,90.001,6,85.714,6064.29,90.001,6064.29,90.001
JBLU,1:1,15,10,10,12293,12293,10,100.0,12293.0,100.0,12293.0,100.0,9,90.0,12231.0,99.496,11673.0,94.956,9,90.0,11652.1,94.786,11652.1,94.786,10,100.0,12293.0,100.0,12293.0,100.0
JBLU,1:1,25,14,14,22856,22856,14,100.0,22856.0,100.0,22856.0,100.0,13,92.857,22720.0,99.405,20952.0,91.67,14,100.0,22856.0,100.0,22856.0,100.0,14,100.0,22856.0,100.0,22856.0,100.0
JBLU,1:1,50,28,28,36967,36967,27,96.428,36934.0,99.911,36043.0,97.5,27,96.428,36934.0,99.911,36043.0,97.5,27,96.428,36419.79,98.52,36419.79,98.52,27,96.428,36419.79,98.52,36419.79,98.52
JBLU,1:1,100,60,60,86621,86621,59,98.333,86606.0,99.983,85721.0,98.961,59,98.333,86606.0,99.983,85721.0,98.961,59,98.333,85836.9,99.095,85836.9,99.095,59,98.333,85836.9,99.095,85836.9,99.095
JBLU,1:1,500,256,256,1907140,1907140,255,99.609,1907116.0,99.999,1900996.0,99.678,255,99.609,1907116.0,99.999,1900996.0,99.678,255,99.609,1905209.23,99.899,1905209.23,99.899,255,99.609,1905209.23,99.899,1905209.23,99.899
JBLU,1:1,1000,519,519,2865783,2865783,519,100.0,2865783.0,100.0,2865783.0,100.0,518,99.807,2865777.0,100.0,2862669.0,99.891,517,99.614,2862530.41,99.887,2862530.41,99.887,518,99.807,2864156.71,99.943,2864156.71,99.943
JBLU,1:1,2000,1026,1026,8253985,8253985,1026,100.0,8253985.0,100.0,8253985.0,100.0,1025,99.902,8253983.0,100.0,8251933.0,99.975,1023,99.707,8240997.37,99.843,8240997.37,99.843,1026,100.0,8253985.0,100.0,8253985.0,100.0
JBLU,1:1,5000,2537,2538,26320084,26320084,2537,99.96,26320084.0,100.0,26320084.0,100.0,2537,99.96,26320084.0,100.0,26320084.0,100.0,2536,99.96,26315347.73,99.982,26315347.73,99.982,2537,99.96,26315349.6,99.982,26315349.6,99.982
JBLU,1:1,9268,4686,4686,50349356,50349356,4686,100.0,50349356.0,100.0,50349356.0,100.0,4685,99.978,50349352.0,100.0,50330612.0,99.963,4683,99.935,50334910.19,99.971,50334910.19,99.971,4686,100.0,50349356.0,100.0,50349356.0,100.0
M,1:1,2,1,1,500,500,1,100.0,500.0,100.0,500.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,500.0,100.0,500.0,100.0
M,1:1,3,1,2,688,688,1,50.0,688.0,100.0,688.0,100.0,1,50.0,688.0,100.0,688.0,100.0,1,100.0,688.0,100.0,688.0,100.0,1,50.0,594.0,86.337,594.0,86.337
M,1:1,4,2,2,1438,1438,2,100.0,1438.0,100.0,1438.0,100.0,1,50.0,1250.0,86.926,1062.0,73.853,1,50.0,969.0,67.385,969.0,67.385,2,100.0,1438.0,100.0,1438.0,100.0
M,1:1,5,2,3,2313,2313,2,66.666,2313.0,100.0,2313.0,100.0,2,66.666,2313.0,100.0,2313.0,100.0,2,100.0,2313.0,100.0,2313.0,100.0,2,66.666,1834.0,79.291,1834.0,79.291
M,1:1,10,5,7,3563,3563,6,85.714,3563.0,100.0,3563.0,100.0,6,85.714,3563.0,100.0,3563.0,100.0,4,80.0,3325.2,93.326,3325.2,93.326,6,85.714,3393.14,95.233,3393.14,95.233
M,1:1,15,9,9,4002,4002,9,100.0,4002.0,100.0,4002.0,100.0,8,88.888,3939.0,98.426,3435.0,85.832,4,44.444,3097.56,77.4,3097.56,77.4,9,100.0,4002.0,100.0,4002.0,100.0
M,1:1,25,12,16,5625,5625,15,93.75,5625.0,100.0,5625.0,100.0,15,93.75,5625.0,100.0,5625.0,100.0,12,100.0,5625.0,100.0,5625.0,100.0,15,93.75,5503.75,97.844,5503.75,97.844
M,1:1,50,27,30,18814,18814,29,96.666,18814.0,100.0,18814.0,100.0,29,96.666,18814.0,100.0,18814.0,100.0,26,96.296,18366.96,97.624,18366.96,97.624,30,100.0,18814.0,100.0,18814.0,100.0
M,1:1,100,50,52,71063,71063,51,98.076,71063.0,100.0,71063.0,100.0,51,98.076,71063.0,100.0,71063.0,100.0,49,98.0,70419.5,99.094,70419.5,99.094,51,98.076,70444.25,99.129,70444.25,99.129
M,1:1,500,257,262,806999,806999,261,99.618,806999.0,100.0,806999.0,100.0,261,99.618,806999.0,100.0,806999.0,100.0,256,99.61,805958.38,99.871,805958.38,99.871,262,100.0,806999.0,100.0,806999.0,100.0
M,1:1,1000,513,521,1689557,1689557,520,99.808,1689557.0,100.0,1689557.0,100.0,520,99.808,1689557.0,100.0,1689557.0,100.0,498,97.076,1665931.44,98.602,1665931.44,98.602,520,99.808,1687864.94,99.9,1687864.94,99.9
M,1:1,2000,1005,1008,10572259,10572259,1007,99.9,10572259.0,100.0,10572259.0,100.0,1007,99.9,10572259.0,100.0,10572259.0,100.0,1002,99.701,10559816.11,99.882,10559816.11,99.882,1008,100.0,10572259.0,100.0,10572259.0,100.0
M,1:1,5000,2542,2542,35045026,35045026,2542,100.0,35045026.0,100.0,35045026.0,100.0,2541,99.96,35045017.0,100.0,35022148.0,99.935,2536,99.763,35008003.12,99.894,35008003.12,99.894,2542,100.0,35045026.0,100.0,35045026.0,100.0
M,1:1,10000,5082,5083,94057451,94057451,5082,99.98,94057451.0,100.0,94057451.0,100.0,5082,99.98,94057451.0,100.0,94057451.0,100.0,5081,99.98,94050856.48,99.993,94050856.48,99.993,5082,99.98,94050857.78,99.993,94050857.78,99.993
M,1:1,14402,7301,7301,152067113,152067113,7301,100.0,152067113.0,100.0,152067113.0,100.0,7300,99.986,152067108.0,100.0,152030608.0,99.976,7299,99.972,152052551.69,99.99,152052551.69,99.99,7300,99.986,152059832.35,99.995,152059832.35,99.995
MA,1:1,2,1,1,644,644,1,100.0,644.0,100.0,644.0,100.0,0,0.0,0,0.0,0,0.0,1,100.0,644.0,100.0,644.0,100.0,1,100.0,644.0,100.0,644.0,100.0
MA,1:1,3,2,2,752,752,2,100.0,752.0,100.0,752.0,100.0,1,50.0,644.0,85.638,536.0,71.277,1,50.0,410.5,54.588,410.5,54.588,1,50.0,410.5,54.588,410.5,54.588
MA,1:1,4,3,3,853,853,2,66.666,814.0,95.428,736.0,86.284,2,66.666,814.0,95.428,736.0,86.284,2,66.666,637.67,74.756,637.67,74.756,2,66.666,637.67,74.756,637.67,74.756
MA,1:1,5,4,4,1170,1170,3,75.0,1131.0,96.667,1014.0,86.667,3,75.0,1131.0,96.667,1014.0,86.667,3,75.0,997.75,85.278,997.75,85.278,3,75.0,997.75,85.278,997.75,85.278
MA,1:1,10,6,6,2490,2490,6,100.0,2490.0,100.0,2490.0,100.0,5,83.333,2423.0,97.309,2088.0,83.855,6,100.0,2490.0,100.0,2490.0,100.0,6,100.0,2490.0,100.0,2490.0,100.0
MA,1:1,15,9,9,3280,3280,9,100.0,3280.0,100.0,3280.0,100.0,8,88.888,3250.0,99.085,3010.0,91.768,8,88.888,3038.33,92.632,3038.33,92.632,8,88.888,3038.33,92.632,3038.33,92.632
MA,1:1,25,14,15,4584,4584,14,93.333,4584.0,100.0,4584.0,100.0,14,93.333,4584.0,100.0,4584.0,100.0,14,100.0,4584.0,100.0,4584.0,100.0,15,100.0,4584.0,100.0,4584.0,100.0
MA,1:1,50,28,28,8394,8394,28,100.0,8394.0,100.0,8394.0,100.0,27,96.428,8386.0,99.905,8170.0,97.331,28,100.0,8394.0,100.0,8394.0,100.0,28,100.0,8394.0,100.0,8394.0,100.0
MA,1:1,100,51,51,80931,80931,51,100.0,80931.0,100.0,80931.0,100.0,50,98.039,80851.0,99.901,76851.0,94.959,51,100.0,80931.0,100.0,80931.0,100.0,51,100.0,80931.0,100.0,80931.0,100.0
MA,1:1,500,256,256,2650003,2650003,256,100.0,2650003.0,100.0,2650003.0,100.0,255,99.609,2649971.0,99.999,2641811.0,99.691,256,100.0,2650003.0,100.0,2650003.0,100.0,256,100.0,2650003.0,100.0,2650003.0,100.0
MA,1:1,1000,516,516,5514038,5514038,516,100.0,5514038.0,100.0,5514038.0,100.0,515,99.806,5514018.0,100.0,5503718.0,99.813,516,100.0,5514038.0,100.0,5514038.0,100.0,516,100.0,5514038.0,100.0,5514038.0,100.0
MA,1:1,2000,1012,1012,28782020,28782020,1011,99.901,28782015.0,100.0,28776960.0,99.982,1011,99.901,28782015.0,100.0,28776960.0,99.982,1012,100.0,28782020.0,100.0,28782020.0,100.0,1012,100.0,28782020.0,100.0,28782020.0,100.0
MA,1:1,5000,2513,2513,257295019,257295019,2512,99.96,257294995.0,100.0,257234707.0,99.977,2512,99.96,257294995.0,100.0,257234707.0,99.977,2512,99.96,257284709.23,99.996,257284709.23,99.996,2512,99.96,257284709.23,99.996,257284709.23,99.996
MA,1:1,7192,3602,3602,452962463,452962463,3601,99.972,452962437.0,100.0,452868811.0,99.979,3601,99.972,452962437.0,100.0,452868811.0,99.979,3602,100.0,452962463.0,100.0,452962463.0,100.0,3602,100.0,452962463.0,100.0,452962463.0,100.0
MRVL,1:1,2,1,2,942,942,1,50.0,942.0,100.0,942.0,100.0,1,50.0,942.0,100.0,942.0,100.0,1,100.0,942.0,100.0,942.0,100.0,1,50.0,666.5,70.754,666.5,70.754
MRVL,1:1,3,2,2,1739,1739,2,100.0,1739.0,100.0,1739.0,100.0,1,50.0,1188.0,68.315,637.0,36.63,1,50.0,1065.0,61.242,1065.0,61.242,2,100.0,1739.0,100.0,1739.0,100.0
MRVL,1:1,4,2,2,2641,2641,2,100.0,2641.0,100.0,2641.0,100.0,1,50.0,1844.0,69.822,1047.0,39.644,2,100.0,2641.0,100.0,2641.0,100.0,2,100.0,2641.0,100.0,2641.0,100.0
MRVL,1:1,5,3,3,4985,4985,2,66.666,4797.0,96.229,4421.0,88.686,2,66.666,4797.0,96.229,4421.0,88.686,2,66.666,3859.67,77.426,3859.67,77.426,2,66.666,3859.67,77.426,3859.67,77.426
MRVL,1:1,10,6,6,14016,14016,6,100.0,14016.0,100.0,14016.0,100.0,5,83.333,13828.0,98.659,12888.0,91.952,5,83.333,12685.0,90.504,12685.0,90.504,5,83.333,12685.0,90.504,12685.0,90.504
MRVL,1:1,15,9,9,27114,27114,9,100.0,27114.0,100.0,27114.0,100.0,8,88.888,26864.0,99.078,24864.0,91.702,9,100.0,27114.0,100.0,27114.0,100.0,9,100.0,27114.0,100.0,27114.0,100.0
MRVL,1:1,25,14,14,44816,44816,14,100.0,44816.0,100.0,44816.0,100.0,13,92.857,44437.0,99.154,39510.0,88.16,14,100.0,44816.0,100.0,44816.0,100.0,14,100.0,44816.0,100.0,44816.0,100.0
MRVL,1:1,50,29,29,117479,117479,28,96.551,117432.0,99.96,116116.0,98.84,28,96.551,117432.0,99.96,116116.0,98.84,28,96.551,116346.31,99.036,116346.31,99.036,28,96.551,116346.31,99.036,116346.31,99.036
MRVL,1:1,100,54,55,358042,358042,54,98.181,358042.0,100.0,358042.0,100.0,54,98.181,358042.0,100.0,358042.0,100.0,53,98.148,356600.65,99.597,356600.65,99.597,54,98.181,356626.85,99.605,356626.85,99.605
MRVL,1:1,500,257,257,1627479,1627479,257,100.0,1627479.0,100.0,1627479.0,100.0,256,99.61,1627406.0,99.996,1608718.0,98.847,257,100.0,1627479.0,100.0,1627479.0,100.0,257,100.0,1627479.0,100.0,1627479.0,100.0
MRVL,1:1,1000,509,509,2945055,2945055,509,100.0,2945055.0,100.0,2945055.0,100.0,508,99.803,2945027.0,99.999,2930803.0,99.516,509,100.0,2945055.0,100.0,2945055.0,100.0,509,100.0,2945055.0,100.0,2945055.0,100.0
MRVL,1:1,2000,1013,1014,11813780,11813780,1013,99.901,11813780.0,100.0,11813780.0,100.0,1013,99.901,11813780.0,100.0,11813780.0,100.0,1012,99.901,11806163.75,99.936,11806163.75,99.936,1013,99.901,11809738.07,99.966,11809738.07,99.966
MRVL,1:1,5000,2531,2533,24105694,24105694,2532,99.96,24105694.0,100.0,24105694.0,100.0,2532,99.96,24105694.0,100.0,24105694.0,100.0,2531,100.0,24105694.0,100.0,24105694.0,100.0,2533,100.0,24105694.0,100.0,24105694.0,100.0
MRVL,1:1,10000,5081,5082,48882029,48882029,5081,99.98,48882029.0,100.0,48882029.0,100.0,5081,99.98,48882029.0,100.0,48882029.0,100.0,5075,99.881,48854860.15,99.944,48854860.15,99.944,5081,99.98,48877501.75,99.991,48877501.75,99.991
MRVL,1:1,10156,5142,5151,51201745,51201745,5150,99.98,51201745.0,100.0,51201745.0,100.0,5150,99.98,51201745.0,100.0,51201745.0,100.0,5141,99.98,51197151.18,99.991,51197151.18,99.991,5151,100.0,51201745.0,100.0,51201745.0,100.0
MSFT,1:1,2,2,2,18,18,1,50.0,14.0,77.778,10.0,55.556,1,50.0,14.0,77.778,10.0,55.556,1,50.0,9.5,52.778,9.5,52.778,1,50.0,9.5,52.778,9.5,52.778
MSFT,1:1,3,3,3,21,21,2,66.666,20.0,95.238,18.0,85.714,2,66.666,20.0,95.238,18.0,85.714,2,66.666,15.0,71.429,15.0,71.429,2,66.666,15.0,71.429,15.0,71.429
MSFT,1:1,4,3,3,23,23,3,100.0,23.0,100.0,23.0,100.0,2,66.666,21.0,91.304,17.0,73.913,2,66.666,16.0,69.565,16.0,69.565,3,100.0,23.0,100.0,23.0,100.0
MSFT,1:1,5,4,4,25,25,4,100.0,25.0,100.0,25.0,100.0,3,75.0,24.0,96.0,21.0,84.0,3,75.0,20.0,80.0,20.0,80.0,3,75.0,20.0,80.0,20.0,80.0
MSFT,1:1,10,6,6,53,53,6,100.0,53.0,100.0,53.0,100.0,5,83.333,52.0,98.113,47.0,88.679,5,83.333,47.33,89.308,47.33,89.308,6,100.0,53.0,100.0,53.0,100.0
MSFT,1:1,15,9,10,63,63,9,90.0,63.0,100.0,63.0,100.0,9,90.0,63.0,100.0,63.0,100.0,8,88.888,59.11,93.827,59.11,93.827,9,90.0,60.2,95.556,60.2,95.556
MSFT,1:1,25,14,16,100,100,15,93.75,100.0,100.0,100.0,100.0,15,93.75,100.0,100.0,100.0,100.0,14,100.0,100.0,100.0,100.0,100.0,15,93.75,97.19,97.188,97.19,97.188
MSFT,1:1,50,27,28,381,381,27,96.428,381.0,100.0,381.0,100.0,27,96.428,381.0,100.0,381.0,100.0,26,96.296,375.37,98.522,375.37,98.522,27,96.428,375.57,98.575,375.57,98.575
MSFT,1:1,100,52,52,707,707,52,100.0,707.0,100.0,707.0,100.0,51,98.076,705.0,99.717,603.0,85.29,52,100.0,707.0,100.0,707.0,100.0,52,100.0,707.0,100.0,707.0,100.0
MSFT,1:1,500,253,253,59556,59556,252,99.604,59555.0,99.998,59303.0,99.575,252,99.604,59555.0,99.998,59303.0,99.575,252,99.604,59410.51,99.756,59410.51,99.756,253,100.0,59556.0,100.0,59556.0,100.0
MSFT,1:1,1000,516,521,105352,105352,520,99.808,105352.0,100.0,105352.0,100.0,520,99.808,105352.0,100.0,105352.0,100.0,511,99.031,104729.57,99.409,104729.57,99.409,521,100.0,105352.0,100.0,105352.0,100.0
MSFT,1:1,2000,1002,1003,1650809,1650809,1002,99.9,1650809.0,100.0,1650809.0,100.0,1002,99.9,1650809.0,100.0,1650809.0,100.0,1002,100.0,1650809.0,100.0,1650809.0,100.0,1002,99.9,1650466.05,99.979,1650466.05,99.979
MSFT,1:1,5000,2509,2510,63593106,63593106,2509,99.96,63593106.0,100.0,63593106.0,100.0,2509,99.96,63593106.0,100.0,63593106.0,100.0,2508,99.96,63572130.48,99.967,63572130.48,99.967,2509,99.96,63588737.26,99.993,63588737.26,99.993
MSFT,1:1,10000,5046,5046,221694541,221694541,5046,100.0,221694541.0,100.0,221694541.0,100.0,5045,99.98,221694531.0,100.0,221644081.0,99.977,5044,99.96,221655387.53,99.982,221655387.53,99.982,5046,100.0,221694541.0,100.0,221694541.0,100.0
MSFT,1:1,17386,8816,8818,375417980,375417980,8817,99.988,375417980.0,100.0,375417980.0,100.0,8817,99.988,375417980.0,100.0,375417980.0,100.0,8812,99.954,375352340.21,99.983,375352340.21,99.983,8817,99.988,375401573.78,99.996,375401573.78,99.996
NFLX,1:1,2,2,2,97,97,1,50.0,86.0,88.66,75.0,77.32,1,50.0,86.0,88.66,75.0,77.32,1,50.0,57.0,58.763,57.0,58.763,1,50.0,57.0,58.763,57.0,58.763
NFLX,1:1,3,3,3,116,116,2,66.666,105.0,90.517,83.0,71.552,2,66.666,105.0,90.517,83.0,71.552,2,66.666,85.33,73.563,85.33,73.563,2,66.666,85.33,73.563,85.33,73.563
NFLX,1:1,4,3,3,166,166,2,66.666,154.0,92.771,130.0,78.313,2,66.666,154.0,92.771,130.0,78.313,3,100.0,166.0,100.0,166.0,100.0,3,100.0,166.0,100.0,166.0,100.0
NFLX,1:1,5,3,3,272,272,3,100.0,272.0,100.0,272.0,100.0,2,66.666,211.0,77.574,89.0,32.721,3,100.0,272.0,100.0,272.0,100.0,3,100.0,272.0,100.0,272.0,100.0
NFLX,1:1,10,6,6,594,594,6,100.0,594.0,100.0,594.0,100.0,5,83.333,585.0,98.485,540.0,90.909,6,100.0,594.0,100.0,594.0,100.0,6,100.0,594.0,100.0,594.0,100.0
NFLX,1:1,15,10,10,768,768,9,90.0,765.0,99.609,738.0,96.094,9,90.0,765.0,99.609,738.0,96.094,9,90.0,726.4,94.583,726.4,94.583,10,100.0,768.0,100.0,768.0,100.0
NFLX,1:1,25,13,14,2289,2289,13,92.857,2289.0,100.0,2289.0,100.0,13,92.857,2289.0,100.0,2289.0,100.0,13,100.0,2289.0,100.0,2289.0,100.0,13,92.857,2196.64,95.965,2196.64,95.965
NFLX,1:1,50,28,28,5159,5159,27,96.428,5154.0,99.903,5019.0,97.286,27,96.428,5154.0,99.903,5019.0,97.286,26,92.857,5028.86,97.477,5028.86,97.477,28,100.0,5159.0,100.0,5159.0,100.0
NFLX,1:1,100,53,54,17404,17404,53,98.148,17404.0,100.0,17404.0,100.0,53,98.148,17404.0,100.0,17404.0,100.0,53,100.0,17404.0,100.0,17404.0,100.0,53,98.148,17232.94,99.017,17232.94,99.017
NFLX,1:1,500,256,256,619558,619558,255,99.609,619554.0,99.999,618534.0,99.835,255,99.609,619554.0,99.999,618534.0,99.835,255,99.609,617767.5,99.711,617767.5,99.711,256,100.0,619558.0,100.0,619558.0,100.0
