,recipe,n,k,k+0,OPT_GFT,OPT_GFT+0,McAfee_k',%k',total_gft,%total_gft,market_gft,market_%gft,McAfee_Without_Heuristic_k',%k',total_gft,%total_gft,market_gft,market_%gft,SBB_External_Competition_k',%k',gft,%gft,market_gft,market_%gft,SBB_Ascending_Prices_k,%k',gft,%gft,market_gft,market_%gft
stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,optimal_gft_with_gft_zero,McAfee_count,McAfee_count_ratio,McAfee_total_gft,McAfee_total_gft_ratio,McAfee_market_gft,McAfee_market_gft_ratio,McAfee_Without_Heuristic_count,McAfee_Without_Heuristic_count_ratio,McAfee_Without_Heuristic_total_gft,McAfee_Without_Heuristic_total_gft_ratio,McAfee_Without_Heuristic_market_gft,McAfee_Without_Heuristic_market_gft_ratio,SBB_External_Competition_count,SBB_External_Competition_count_ratio,SBB_External_Competition_total_gft,SBB_External_Competition_total_gft_ratio,SBB_External_Competition_market_gft,SBB_External_Competition_market_gft_ratio,SBB_Ascending_Prices_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_total_gft,SBB_Ascending_Prices_total_gft_ratio,SBB_Ascending_Prices_market_gft,SBB_Ascending_Prices_market_gft_ratio
BAC,1:1,3,1,2,15,15,1,50.0,15.0,100.0,15.0,100.0,1,50.0,15.0,100.0,15.0,100.0,0,0.0,0.0,0.0,0.0,0.0,1,50.0,15.0,100.0,15.0,100.0
BAC,1:1,4,1,3,15,15,2,66.666,15.0,100.0,15.0,100.0,2,66.666,15.0,100.0,15.0,100.0,0,0.0,0.0,0.0,0.0,0.0,2,66.666,15.0,100.0,15.0,100.0
BAC,1:1,5,1,4,15,15,3,75.0,15.0,100.0,15.0,100.0,3,75.0,15.0,100.0,15.0,100.0,0,0.0,0.0,0.0,0.0,0.0,3,75.0,15.0,100.0,15.0,100.0
BAC,1:1,10,5,5,451,451,5,100.0,451.0,100.0,451.0,100.0,4,80.0,436.0,96.674,376.0,83.37,4,80.0,436.0,96.674,436.0,96.674,5,100.0,451.0,100.0,451.0,100.0
BAC,1:1,15,7,8,1671,1671,7,87.5,1671.0,100.0,1671.0,100.0,7,87.5,1671.0,100.0,1671.0,100.0,7,100.0,1671.0,100.0,1671.0,100.0,7,87.5,1636.5,97.935,1636.5,97.935
BAC,1:1,25,12,13,2906,2906,12,92.307,2906.0,100.0,2906.0,100.0,12,92.307,2906.0,100.0,2906.0,100.0,12,100.0,2906.0,100.0,2906.0,100.0,12,92.307,2848.46,98.02,2848.46,98.02
BAC,1:1,50,25,25,5012,5012,25,100.0,5012.0,100.0,5012.0,100.0,24,96.0,4997.0,99.701,4637.0,92.518,23,92.0,4855.6,96.879,4855.6,96.879,25,100.0,5012.0,100.0,5012.0,100.0
BAC,1:1,100,59,63,238951,238951,62,98.412,238951.0,100.0,238951.0,100.0,62,98.412,238951.0,100.0,238951.0,100.0,56,94.915,227198.17,95.081,227198.17,95.081,63,100.0,238951.0,100.0,238951.0,100.0
BAC,1:1,500,450,450,1704528,1704528,449,99.777,1703419.0,99.935,1205478.0,70.722,449,99.777,1703419.0,99.935,1205478.0,70.722,447,99.333,1701201.0,99.805,1701201.0,99.805,449,99.777,1703419.0,99.935,1703419.0,99.935
BAC,1:1,1000,947,947,2397438,2397438,946,99.894,2396360.0,99.955,1376572.0,57.418,946,99.894,2396360.0,99.955,1376572.0,57.418,942,99.472,2392048.0,99.775,2392048.0,99.775,946,99.894,2396360.0,99.955,2396360.0,99.955
BAC,1:1,2000,1946,1946,4039642,4039642,1945,99.948,4038564.0,99.973,1941854.0,48.07,1945,99.948,4038564.0,99.973,1941854.0,48.07,1942,99.794,4035330.0,99.893,4035330.0,99.893,1945,99.948,4038564.0,99.973,4038564.0,99.973
BAC,1:1,5000,3302,3302,19785581,19785581,3301,99.969,19785456.0,99.999,19372831.0,97.914,3301,99.969,19785456.0,99.999,19372831.0,97.914,3284,99.454,19752716.0,99.834,19752716.0,99.834,3301,99.969,19783755.17,99.991,19783755.17,99.991
BAC,1:1,10000,5012,5014,127971597,127971597,5013,99.98,127971597.0,100.0,127971597.0,100.0,5013,99.98,127971597.0,100.0,127971597.0,100.0,5011,99.98,127954419.37,99.987,127954419.37,99.987,5014,100.0,127971597.0,100.0,127971597.0,100.0
BAC,1:1,20000,10048,10054,229108579,229108579,10053,99.99,229108579.0,100.0,229108579.0,100.0,10053,99.99,229108579.0,100.0,229108579.0,100.0,10030,99.82,228965245.8,99.937,228965245.8,99.937,10054,100.0,229108579.0,100.0,229108579.0,100.0
BAC,1:1,23986,12047,12062,283708408,283708408,12061,99.991,283708408.0,100.0,283708408.0,100.0,12061,99.991,283708408.0,100.0,283708408.0,100.0,12035,99.9,283612154.01,99.966,283612154.01,99.966,12062,100.0,283708408.0,100.0,283708408.0,100.0
C,1:1,2,1,2,155,155,1,50.0,155.0,100.0,155.0,100.0,1,50.0,155.0,100.0,155.0,100.0,1,100.0,155.0,100.0,155.0,100.0,1,50.0,103.5,66.774,103.5,66.774
C,1:1,3,2,2,207,207,2,100.0,207.0,100.0,207.0,100.0,1,50.0,155.0,74.879,103.0,49.758,0,0.0,0.0,0.0,0.0,0.0,2,100.0,207.0,100.0,207.0,100.0
C,1:1,4,2,3,310,310,2,66.666,310.0,100.0,310.0,100.0,2,66.666,310.0,100.0,310.0,100.0,2,100.0,310.0,100.0,310.0,100.0,2,66.666,241.33,77.849,241.33,77.849
C,1:1,5,3,3,465,465,3,100.0,465.0,100.0,465.0,100.0,2,66.666,362.0,77.849,156.0,33.548,2,66.666,344.67,74.122,344.67,74.122,3,100.0,465.0,100.0,465.0,100.0
C,1:1,10,5,7,1452,1452,7,100.0,1452.0,100.0,1452.0,100.0,6,85.714,1452.0,100.0,1452.0,100.0,5,100.0,1452.0,100.0,1452.0,100.0,6,85.714,1348.57,92.877,1348.57,92.877
C,1:1,15,9,9,1970,1970,9,100.0,1970.0,100.0,1970.0,100.0,8,88.888,1918.0,97.36,1502.0,76.244,6,66.666,1573.33,79.865,1573.33,79.865,9,100.0,1970.0,100.0,1970.0,100.0
C,1:1,25,14,16,3106,3106,15,93.75,3106.0,100.0,3106.0,100.0,15,93.75,3106.0,100.0,3106.0,100.0,13,92.857,3029.0,97.521,3029.0,97.521,15,93.75,3038.62,97.831,3038.62,97.831
C,1:1,50,28,32,6221,6221,31,96.875,6221.0,100.0,6221.0,100.0,31,96.875,6221.0,100.0,6221.0,100.0,27,96.428,6100.29,98.06,6100.29,98.06,31,96.875,6132.22,98.573,6132.22,98.573
C,1:1,100,54,55,22938,22938,54,98.181,22938.0,100.0,22938.0,100.0,54,98.181,22938.0,100.0,22938.0,100.0,46,85.185,20569.26,89.673,20569.26,89.673,54,98.181,22811.65,99.449,22811.65,99.449
C,1:1,500,263,269,347673,347673,268,99.628,347673.0,100.0,347673.0,100.0,268,99.628,347673.0,100.0,347673.0,100.0,247,93.916,335723.62,96.563,335723.62,96.563,269,100.0,347673.0,100.0,347673.0,100.0
C,1:1,1000,503,513,1238679,1238679,512,99.805,1238679.0,100.0,1238679.0,100.0,512,99.805,1238679.0,100.0,1238679.0,100.0,501,99.602,1235536.87,99.746,1235536.87,99.746,513,100.0,1238679.0,100.0,1238679.0,100.0
C,1:1,2000,1008,1010,4118288,4118288,1009,99.9,4118288.0,100.0,4118288.0,100.0,1009,99.9,4118288.0,100.0,4118288.0,100.0,999,99.107,4100137.67,99.559,4100137.67,99.559,1009,99.9,4116223.2,99.95,4116223.2,99.95
