recipe,external_wins_gft,tie_gft,ascending_wins_gft,external_wins_k,tie_k,ascending_wins_k,external_wins,tie,ascending_wins
"(3, 8, 8)",50,0,50,0,100,0,10,0,10
"(3, 8, 9)",40,0,60,0,100,0,8,0,12
"(3, 9, 1)",50,0,50,0,100,0,10,0,10
"(3, 9, 2)",65,0,35,0,100,0,13,0,7
"(3, 9, 3)",50,0,50,0,100,0,10,0,10
"(3, 9, 4)",65,0,35,0,100,0,13,0,7
"(3, 9, 5)",60,0,40,0,100,0,12,0,8
"(3, 9, 6)",60,0,40,0,100,0,12,0,8
"(3, 9, 7)",45,0,55,0,100,0,9,0,11
"(3, 9, 8)",65,0,35,0,100,0,13,0,7
"(3, 9, 9)",50,0,50,0,100,0,10,0,10
"(4, 1, 1)",70,0,30,0,100,0,14,0,6
"(4, 1, 2)",50,0,50,0,100,0,10,0,10
"(4, 1, 3)",55,0,45,0,100,0,11,0,9
"(4, 1, 4)",40,0,60,0,100,0,8,0,12
"(4, 1, 5)",45,0,55,0,100,0,9,0,11
"(4, 1, 6)",45,5,50,0,100,0,9,1,10
"(4, 1, 7)",55,0,45,0,100,0,11,0,9
"(4, 1, 8)",60,0,40,0,100,0,12,0,8
"(4, 1, 9)",35,0,65,0,100,0,7,0,13
"(4, 2, 1)",55,5,40,0,100,0,11,1,8
"(4, 2, 2)",60,5,35,0,100,0,12,1,7
"(4, 2, 3)",40,5,55,0,100,0,8,1,11
"(4, 2, 4)",60,0,40,0,100,0,12,0,8
"(4, 2, 5)",40,0,60,0,100,0,8,0,12
"(4, 2, 6)",65,0,35,0,100,0,13,0,7
"(4, 2, 7)",60,0,40,0,100,0,12,0,8
"(4, 2, 8)",60,0,40,0,100,0,12,0,8
"(4, 2, 9)",60,0,40,0,100,0,12,0,8
"(4, 3, 1)",70,0,30,0,100,0,14,0,6
"(4, 3, 2)",55,0,45,0,100,0,11,0,9
"(4, 3, 3)",50,0,50,0,100,0,10,0,10
"(4, 3, 4)",55,0,45,0,100,0,11,0,9
"(4, 3, 5)",30,0,70,0,100,0,6,0,14
"(4, 3, 6)",65,0,35,0,100,0,13,0,7
"(4, 3, 7)",45,0,55,0,100,0,9,0,11
"(4, 3, 8)",75,0,25,0,100,0,15,0,5
"(4, 3, 9)",80,5,15,0,100,0,16,1,3
"(4, 4, 1)",45,0,55,0,100,0,9,0,11
"(4, 4, 2)",35,0,65,0,100,0,7,0,13
"(4, 4, 3)",50,0,50,0,100,0,10,0,10
"(4, 4, 4)",60,0,40,0,100,0,12,0,8
"(4, 4, 5)",50,0,50,0,100,0,10,0,10
"(4, 4, 6)",75,0,25,0,100,0,15,0,5
"(4, 4, 7)",45,0,55,0,100,0,9,0,11
"(4, 4, 8)",45,0,55,0,100,0,9,0,11
"(4, 4, 9)",40,0,60,0,100,0,8,0,12
"(4, 5, 1)",25,0,75,0,100,0,5,0,15
"(4, 5, 2)",50,0,50,0,100,0,10,0,10
"(4, 5, 3)",65,0,35,0,100,0,13,0,7
"(4, 5, 4)",55,0,45,0,100,0,11,0,9
"(4, 5, 5)",45,0,55,0,100,0,9,0,11
"(4, 5, 6)",50,0,50,0,100,0,10,0,10
"(4, 5, 7)",50,0,50,0,100,0,10,0,10
"(4, 5, 8)",40,0,60,0,100,0,8,0,12
"(4, 5, 9)",50,0,50,0,100,0,10,0,10
"(4, 6, 1)",40,0,60,0,100,0,8,0,12
"(4, 6, 2)",45,0,55,0,100,0,9,0,11
"(4, 6, 3)",65,0,35,0,100,0,13,0,7
"(4, 6, 4)",30,0,70,0,100,0,6,0,14
"(4, 6, 5)",45,0,55,0,100,0,9,0,11
"(4, 6, 6)",65,0,35,0,100,0,13,0,7
"(4, 6, 7)",55,0,45,0,100,0,11,0,9
"(4, 6, 8)",50,0,50,0,100,0,10,0,10
"(4, 6, 9)",35,0,65,0,100,0,7,0,13
"(4, 7, 1)",45,0,55,0,100,0,9,0,11
"(4, 7, 2)",70,0,30,0,100,0,14,0,6
"(4, 7, 3)",55,0,45,0,100,0,11,0,9
"(4, 7, 4)",50,0,50,0,100,0,10,0,10
"(4, 7, 5)",40,0,60,0,100,0,8,0,12
"(4, 7, 6)",45,0,55,0,100,0,9,0,11
"(4, 7, 7)",30,0,70,0,100,0,6,0,14
"(4, 7, 8)",50,0,50,0,100,0,10,0,10
"(4, 7, 9)",50,5,45,0,100,0,10,1,9
"(4, 8, 1)",40,0,60,0,100,0,8,0,12
"(4, 8, 2)",40,0,60,0,100,0,8,0,12
"(4, 8, 3)",65,0,35,0,100,0,13,0,7
"(4, 8, 4)",55,0,45,0,100,0,11,0,9
"(4, 8, 5)",35,0,65,0,100,0,7,0,13
"(4, 8, 6)",50,0,50,0,100,0,10,0,10
"(4, 8, 7)",60,0,40,0,100,0,12,0,8
"(4, 8, 8)",60,0,40,0,100,0,12,0,8
"(4, 8, 9)",50,0,50,0,100,0,10,0,10
"(4, 9, 1)",35,0,65,0,100,0,7,0,13
"(4, 9, 2)",70,0,30,0,100,0,14,0,6
"(4, 9, 3)",55,0,45,0,100,0,11,0,9
"(4, 9, 4)",45,0,55,0,100,0,9,0,11
"(4, 9, 5)",65,0,35,0,100,0,13,0,7
"(4, 9, 6)",40,0,60,0,100,0,8,0,12
"(4, 9, 7)",55,0,45,0,100,0,11,0,9
"(4, 9, 8)",55,0,45,0,100,0,11,0,9
"(4, 9, 9)",50,0,50,0,100,0,10,0,10
"(5, 1, 1)",30,5,65,0,100,0,6,1,13
"(5, 1, 2)",35,5,60,0,100,0,7,1,12
"(5, 1, 3)",50,0,50,0,100,0,10,0,10
"(5, 1, 4)",30,0,70,0,100,0,6,0,14
"(5, 1, 5)",45,5,50,0,100,0,9,1,10
"(5, 1, 6)",50,5,45,0,100,0,10,1,9
"(5, 1, 7)",55,0,45,0,100,0,11,0,9
"(5, 1, 8)",35,0,65,0,100,0,7,0,13
"(5, 1, 9)",45,0,55,0,100,0,9,0,11
"(5, 2, 1)",40,0,60,0,100,0,8,0,12
"(5, 2, 2)",45,0,55,0,100,0,9,0,11
"(5, 2, 3)",45,0,55,0,100,0,9,0,11
"(5, 2, 4)",60,0,40,0,100,0,12,0,8
"(5, 2, 5)",55,0,45,0,100,0,11,0,9
"(5, 2, 6)",45,5,50,0,100,0,9,1,10
"(5, 2, 7)",55,0,45,0,100,0,11,0,9
"(5, 2, 8)",40,5,55,0,100,0,8,1,11
"(5, 2, 9)",55,0,45,0,100,0,11,0,9
"(5, 3, 1)",55,0,45,0,100,0,11,0,9
"(5, 3, 2)",60,5,35,0,100,0,12,1,7
"(5, 3, 3)",55,0,45,0,100,0,11,0,9
"(5, 3, 4)",25,0,75,0,100,0,5,0,15
"(5, 3, 5)",60,0,40,0,100,0,12,0,8
"(5, 3, 6)",45,0,55,0,100,0,9,0,11
"(5, 3, 7)",55,0,45,0,100,0,11,0,9
"(5, 3, 8)",45,0,55,0,100,0,9,0,11
"(5, 3, 9)",55,5,40,0,100,0,11,1,8
"(5, 4, 1)",35,0,65,0,100,0,7,0,13
"(5, 4, 2)",65,0,35,0,100,0,13,0,7
"(5, 4, 3)",40,5,55,0,100,0,8,1,11
"(5, 4, 4)",65,0,35,0,100,0,13,0,7
"(5, 4, 5)",50,0,50,0,100,0,10,0,10
"(5, 4, 6)",40,0,60,0,100,0,8,0,12
"(5, 4, 7)",80,0,20,0,100,0,16,0,4
"(5, 4, 8)",45,0,55,0,100,0,9,0,11
"(5, 4, 9)",50,0,50,0,100,0,10,0,10
"(5, 5, 1)",55,0,45,0,100,0,11,0,9
"(5, 5, 2)",80,0,20,0,100,0,16,0,4
"(5, 5, 3)",40,0,60,0,100,0,8,0,12
"(5, 5, 4)",45,0,55,0,100,0,9,0,11
"(5, 5, 5)",45,0,55,0,100,0,9,0,11
"(5, 5, 6)",35,0,65,0,100,0,7,0,13
"(5, 5, 7)",55,0,45,0,100,0,11,0,9
"(5, 5, 8)",50,0,50,0,100,0,10,0,10
"(5, 5, 9)",45,0,55,0,100,0,9,0,11
"(5, 6, 1)",45,0,55,0,100,0,9,0,11
"(5, 6, 2)",40,0,60,0,100,0,8,0,12
"(5, 6, 3)",55,0,45,0,100,0,11,0,9
"(5, 6, 4)",45,0,55,0,100,0,9,0,11
"(5, 6, 5)",55,0,45,0,100,0,11,0,9
"(5, 6, 6)",55,0,45,0,100,0,11,0,9
"(5, 6, 7)",50,0,50,0,100,0,10,0,10
"(5, 6, 8)",60,0,40,0,100,0,12,0,8
"(5, 6, 9)",40,0,60,0,100,0,8,0,12
"(5, 7, 1)",50,0,50,0,100,0,10,0,10
"(5, 7, 2)",45,0,55,0,100,0,9,0,11
"(5, 7, 3)",40,0,60,0,100,0,8,0,12
"(5, 7, 4)",65,0,35,0,100,0,13,0,7
"(5, 7, 5)",45,0,55,0,100,0,9,0,11
"(5, 7, 6)",50,0,50,0,100,0,10,0,10
"(5, 7, 7)",45,0,55,0,100,0,9,0,11
"(5, 7, 8)",50,0,50,0,100,0,10,0,10
"(5, 7, 9)",45,0,55,0,100,0,9,0,11
"(5, 8, 1)",50,0,50,0,100,0,10,0,10
"(5, 8, 2)",75,0,25,0,100,0,15,0,5
"(5, 8, 3)",60,0,40,0,100,0,12,0,8
"(5, 8, 4)",45,0,55,0,100,0,9,0,11
"(5, 8, 5)",45,0,55,0,100,0,9,0,11
"(5, 8, 6)",70,0,30,0,100,0,14,0,6
"(5, 8, 7)",40,0,60,0,100,0,8,0,12
"(5, 8, 8)",45,0,55,0,100,0,9,0,11
"(5, 8, 9)",55,0,45,0,100,0,11,0,9
"(5, 9, 1)",40,0,60,0,100,0,8,0,12
"(5, 9, 2)",45,0,55,0,100,0,9,0,11
"(5, 9, 3)",65,0,35,0,100,0,13,0,7
"(5, 9, 4)",60,0,40,0,100,0,12,0,8
"(5, 9, 5)",30,0,70,0,100,0,6,0,14
"(5, 9, 6)",35,0,65,0,100,0,7,0,13
"(5, 9, 7)",50,0,50,0,100,0,10,0,10
"(5, 9, 8)",45,5,50,0,100,0,9,1,10
"(5, 9, 9)",50,0,50,0,100,0,10,0,10
"(6, 1, 1)",45,0,55,0,100,0,9,0,11
"(6, 1, 2)",75,0,25,0,100,0,15,0,5
"(6, 1, 3)",55,0,45,0,100,0,11,0,9
"(6, 1, 4)",50,0,50,0,100,0,10,0,10
"(6, 1, 5)",50,0,50,0,100,0,10,0,10
"(6, 1, 6)",60,0,40,0,100,0,12,0,8
"(6, 1, 7)",30,0,70,0,100,0,6,0,14
"(6, 1, 8)",50,0,50,0,100,0,10,0,10
"(6, 1, 9)",50,0,50,0,100,0,10,0,10
"(6, 2, 1)",55,0,45,0,100,0,11,0,9
"(6, 2, 2)",40,0,60,0,100,0,8,0,12
"(6, 2, 3)",35,0,65,0,100,0,7,0,13
"(6, 2, 4)",50,0,50,0,100,0,10,0,10
"(6, 2, 5)",30,0,70,0,100,0,6,0,14
"(6, 2, 6)",50,0,50,0,100,0,10,0,10
"(6, 2, 7)",40,0,60,0,100,0,8,0,12
"(6, 2, 8)",40,0,60,0,100,0,8,0,12
"(6, 2, 9)",80,0,20,0,100,0,16,0,4
"(6, 3, 1)",55,0,45,0,100,0,11,0,9
"(6, 3, 2)",45,0,55,0,100,0,9,0,11
"(6, 3, 3)",25,0,75,0,100,0,5,0,15
"(6, 3, 4)",55,0,45,0,100,0,11,0,9
"(6, 3, 5)",45,0,55,0,100,0,9,0,11
"(6, 3, 6)",65,0,35,0,100,0,13,0,7
"(6, 3, 7)",45,0,55,0,100,0,9,0,11
"(6, 3, 8)",25,0,75,0,100,0,5,0,15
"(6, 3, 9)",55,0,45,0,100,0,11,0,9
"(6, 4, 1)",45,0,55,0,100,0,9,0,11
"(6, 4, 2)",40,0,60,0,100,0,8,0,12
"(6, 4, 3)",40,0,60,0,100,0,8,0,12
"(6, 4, 4)",45,0,55,0,100,0,9,0,11
"(6, 4, 5)",50,0,50,0,100,0,10,0,10
"(6, 4, 6)",45,0,55,0,100,0,9,0,11
"(6, 4, 7)",40,5,55,0,100,0,8,1,11
"(6, 4, 8)",30,0,70,0,100,0,6,0,14
"(6, 4, 9)",35,0,65,0,100,0,7,0,13
"(6, 5, 1)",45,0,55,0,100,0,9,0,11
"(6, 5, 2)",70,0,30,0,100,0,14,0,6
"(6, 5, 3)",25,0,75,0,100,0,5,0,15
"(6, 5, 4)",45,0,55,0,100,0,9,0,11
"(6, 5, 5)",50,0,50,0,100,0,10,0,10
"(6, 5, 6)",40,0,60,0,100,0,8,0,12
"(6, 5, 7)",35,0,65,0,100,0,7,0,13
"(6, 5, 8)",60,0,40,0,100,0,12,0,8
"(6, 5, 9)",35,5,60,0,100,0,7,1,12
"(6, 6, 1)",50,0,50,0,100,0,10,0,10
"(6, 6, 2)",45,0,55,0,100,0,9,0,11
"(6, 6, 3)",70,0,30,0,100,0,14,0,6
"(6, 6, 4)",35,0,65,0,100,0,7,0,13
"(6, 6, 5)",55,0,45,0,100,0,11,0,9
"(6, 6, 6)",50,0,50,0,100,0,10,0,10
"(6, 6, 7)",65,0,35,0,100,0,13,0,7
"(6, 6, 8)",75,0,25,0,100,0,15,0,5
"(6, 6, 9)",55,0,45,0,100,0,11,0,9
"(6, 7, 1)",35,0,65,0,100,0,7,0,13
"(6, 7, 2)",60,0,40,0,100,0,12,0,8
"(6, 7, 3)",50,0,50,0,100,0,10,0,10
"(6, 7, 4)",65,0,35,0,100,0,13,0,7
"(6, 7, 5)",60,0,40,0,100,0,12,0,8
"(6, 7, 6)",65,0,35,0,100,0,13,0,7
