stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio
AMAT,1:4,100,100,100,43.75,99,99,99.0,99.0,43.43,43.43,99.271,99.271,99,99,99.0,99.0,43.43,43.43,99.271,99.271,99,99,99.0,99.0,43.43,43.43,99.271,99.271,99,99,99.0,99.0,43.43,43.43,99.271,99.271
AMAT,1:4,500,499,499,310.74,498,498,99.799,99.799,310.39,310.39,99.89,99.89,498,498,99.799,99.799,310.39,310.39,99.89,99.89,498,498,99.799,99.799,310.39,310.39,99.89,99.89,498,498,99.799,99.799,310.39,310.39,99.89,99.89
AMAT,1:4,1000,999,999,753.73,998,998,99.899,99.899,753.38,753.38,99.954,99.954,998,998,99.899,99.899,753.38,753.38,99.954,99.954,998,998,99.899,99.899,753.38,753.38,99.954,99.954,998,998,99.899,99.899,753.38,753.38,99.954,99.954
AMAT,1:4,2000,1327,1327,1216.49,1323,1323,99.698,99.698,1215.2,1215.2,99.894,99.894,1327,1327,100.0,100.0,1216.49,1216.49,100.0,100.0,1323,1323,99.698,99.698,1215.2,1215.2,99.894,99.894,1327,1327,100.0,100.0,1216.49,1216.49,100.0,100.0
AMAT,1:4,5000,2537,2537,50237.85,2529,2529,99.684,99.684,50229.07,50229.07,99.983,99.983,2536,2536,99.96,99.96,50236.75,50236.75,99.998,99.998,2529,2529,99.684,99.684,50229.07,50229.07,99.983,99.983,2536,2536,99.96,99.96,50236.75,50236.75,99.998,99.998
AMAT,1:4,10000,5034,5037,418844.7,5031,5031,99.88,99.88,418702.4,418702.4,99.966,99.966,5036,5036,99.98,99.98,418808.95,418808.95,99.991,99.991,5031,5031,99.88,99.88,418702.4,418702.4,99.966,99.966,5036,5036,99.98,99.98,418808.95,418808.95,99.991,99.991
AMAT,1:4,20000,10072,10072,842011.37,10068,10068,99.96,99.96,841818.78,841818.78,99.977,99.977,10072,10072,100.0,100.0,842011.37,842011.37,100.0,100.0,10068,10068,99.96,99.96,841818.78,841818.78,99.977,99.977,10072,10072,100.0,100.0,842011.37,842011.37,100.0,100.0
AMAT,1:4,20414,10258,10259,908344.06,10250,10250,99.912,99.912,907925.55,907925.55,99.954,99.954,10258,10258,99.99,99.99,908307.83,908307.83,99.996,99.996,10250,10250,99.912,99.912,907925.55,907925.55,99.954,99.954,10258,10258,99.99,99.99,908307.83,908307.83,99.996,99.996
AMZN,1:4,2,1,1,2.13,1,1,100.0,100.0,2.13,2.13,100.0,100.0,1,1,100.0,100.0,2.13,2.13,100.0,100.0,1,1,100.0,100.0,2.13,2.13,100.0,100.0,1,1,100.0,100.0,2.13,2.13,100.0,100.0
AMZN,1:4,3,2,2,3.0,1,1,50.0,50.0,2.54,2.54,84.721,84.721,1,1,50.0,50.0,2.54,2.54,84.721,84.721,1,1,50.0,50.0,2.54,2.54,84.721,84.721,1,1,50.0,50.0,2.54,2.54,84.721,84.721
